frame_path,cell_index,tree_present
./datasets/Organised/20260306-handFlying-2/100225286.jpg,0,0
./datasets/Organised/20260306-handFlying-2/100225286.jpg,1,0
./datasets/Organised/20260306-handFlying-2/100225286.jpg,2,0
./datasets/Organised/20260306-handFlying-2/100758610.jpg,0,0
./datasets/Organised/20260306-handFlying-2/100758610.jpg,1,0
./datasets/Organised/20260306-handFlying-2/100758610.jpg,2,0
./datasets/Organised/20260306-handFlying-2/101291929.jpg,0,0
./datasets/Organised/20260306-handFlying-2/101291929.jpg,1,0
./datasets/Organised/20260306-handFlying-2/101291929.jpg,2,0
./datasets/Organised/20260306-handFlying-2/101825304.jpg,0,0
./datasets/Organised/20260306-handFlying-2/101825304.jpg,1,0
./datasets/Organised/20260306-handFlying-2/101825304.jpg,2,0
./datasets/Organised/20260306-handFlying-2/102358594.jpg,0,0
./datasets/Organised/20260306-handFlying-2/102358594.jpg,1,0
./datasets/Organised/20260306-handFlying-2/102358594.jpg,2,0
./datasets/Organised/20260306-handFlying-2/102891928.jpg,0,0
./datasets/Organised/20260306-handFlying-2/102891928.jpg,1,0
./datasets/Organised/20260306-handFlying-2/102891928.jpg,2,0
./datasets/Organised/20260306-handFlying-2/103391912.jpg,0,0
./datasets/Organised/20260306-handFlying-2/103391912.jpg,1,0
./datasets/Organised/20260306-handFlying-2/103391912.jpg,2,0
./datasets/Organised/20260306-handFlying-2/103925234.jpg,0,0
./datasets/Organised/20260306-handFlying-2/103925234.jpg,1,0
./datasets/Organised/20260306-handFlying-2/103925234.jpg,2,0
./datasets/Organised/20260306-handFlying-2/104458611.jpg,0,0
./datasets/Organised/20260306-handFlying-2/104458611.jpg,1,0
./datasets/Organised/20260306-handFlying-2/104458611.jpg,2,0
./datasets/Organised/20260306-handFlying-2/104958595.jpg,0,0
./datasets/Organised/20260306-handFlying-2/104958595.jpg,1,0
./datasets/Organised/20260306-handFlying-2/104958595.jpg,2,0
./datasets/Organised/20260306-handFlying-2/105458596.jpg,0,0
./datasets/Organised/20260306-handFlying-2/105458596.jpg,1,0
./datasets/Organised/20260306-handFlying-2/105458596.jpg,2,0
./datasets/Organised/20260306-handFlying-2/105991908.jpg,0,0
./datasets/Organised/20260306-handFlying-2/105991908.jpg,1,0
./datasets/Organised/20260306-handFlying-2/105991908.jpg,2,0
./datasets/Organised/20260306-handFlying-2/106125286.jpg,0,0
./datasets/Organised/20260306-handFlying-2/106125286.jpg,1,0
./datasets/Organised/20260306-handFlying-2/106125286.jpg,2,0
./datasets/Organised/20260306-handFlying-2/106291896.jpg,0,0
./datasets/Organised/20260306-handFlying-2/106291896.jpg,1,0
./datasets/Organised/20260306-handFlying-2/106291896.jpg,2,0
./datasets/Organised/20260306-handFlying-2/106425232.jpg,0,0
./datasets/Organised/20260306-handFlying-2/106425232.jpg,1,0
./datasets/Organised/20260306-handFlying-2/106425232.jpg,2,0
